fecha,agente,region,cuenta,sku,producto,cantidad,precio,descuento
2026-01-05,Ana,Norte,4.1.1,A1,Laptop,2,1200.00,0.05
2026-01-05,Ana,Norte,4.2.1,C3,Teclado,5,25.00,0.00
2026-01-07,Bob,Sur,4.1.2,B2,Monitor,3,320.00,0.10
2026-01-07,Bob,Sur,4.2.2,D4,Mouse,8,15.00,0.00
2026-01-09,Cid,Centro,4.1.1,A1,Laptop,1,1200.00,0.00
2026-01-09,Cid,Centro,4.2.1,C3,Teclado,4,25.00,0.05
2026-01-12,Ana,Sur,4.1.2,B2,Monitor,2,320.00,0.00
2026-01-12,Ana,Sur,4.2.2,D4,Mouse,10,15.00,0.10
2026-01-14,Bob,Norte,4.1.1,A1,Laptop,3,1200.00,0.15
2026-01-14,Bob,Norte,4.2.1,C3,Teclado,6,25.00,0.00
2026-01-16,Cid,Sur,4.1.2,B2,Monitor,1,320.00,0.00
2026-01-16,Cid,Sur,4.2.2,D4,Mouse,12,15.00,0.05
2026-01-19,Ana,Centro,4.1.1,A1,Laptop,2,1200.00,0.00
2026-01-19,Ana,Centro,4.2.1,C3,Teclado,3,25.00,0.00
2026-01-21,Bob,Sur,4.1.1,A1,Laptop,1,1200.00,0.00
2026-01-21,Bob,Sur,4.2.2,D4,Mouse,6,15.00,0.00
2026-01-23,Cid,Norte,4.1.2,B2,Monitor,4,320.00,0.05
2026-01-23,Cid,Norte,4.2.1,C3,Teclado,7,25.00,0.10
2026-01-26,Ana,Norte,4.1.2,B2,Monitor,2,320.00,0.00
2026-01-26,Ana,Norte,4.2.2,D4,Mouse,9,15.00,0.00
2026-01-27,Bob,Centro,4.1.1,A1,Laptop,2,1200.00,0.05
2026-01-27,Bob,Centro,4.2.1,C3,Teclado,5,25.00,0.00
2026-01-28,Cid,Sur,4.1.1,A1,Laptop,1,1200.00,0.00
2026-01-28,Cid,Sur,4.2.2,D4,Mouse,11,15.00,0.15
2026-01-30,Ana,Sur,4.1.2,B2,Monitor,3,320.00,0.10
2026-01-30,Ana,Sur,4.2.1,C3,Teclado,4,25.00,0.00
2026-01-30,Bob,Norte,4.1.2,B2,Monitor,2,320.00,0.00
2026-01-30,Bob,Norte,4.2.2,D4,Mouse,7,15.00,0.00
2026-01-31,Cid,Centro,4.1.1,A1,Laptop,2,1200.00,0.00
2026-01-31,Cid,Centro,4.2.1,C3,Teclado,6,25.00,0.05
